area_sqft,bedrooms,bathrooms,age_years,floors,garage_spaces,has_pool,has_garden,location,price
1360,5,2,24,1,0,1,1,Suburbs,192251
4272,5,3,31,2,1,0,0,Uptown,625320
3592,6,2,32,3,1,0,0,Rural,311115
966,6,2,44,3,2,1,1,Rural,127689
4926,2,1,35,1,1,0,1,Rural,337973
3944,6,3,19,1,2,0,1,Rural,345764
3671,4,4,17,3,0,1,0,Midtown,518876
3419,1,2,37,1,1,0,0,Downtown,534900
630,1,2,2,3,0,1,1,Rural,73457
2185,1,4,22,2,0,0,1,Downtown,385711
1269,2,3,31,1,0,0,1,Suburbs,173958
2891,2,2,44,2,0,0,0,Uptown,403105
2933,3,2,15,2,1,1,1,Suburbs,347549
1684,1,2,4,2,0,0,0,Rural,133901
3885,4,3,3,3,2,1,1,Suburbs,497806
4617,6,3,20,2,1,0,0,Midtown,619094
3404,4,4,39,2,0,0,0,Downtown,568018
974,6,3,13,2,1,0,1,Rural,118691
1582,1,3,38,3,2,0,1,Midtown,189551
3058,1,1,30,2,0,0,0,Downtown,486626
2547,1,4,13,2,2,0,0,Midtown,341419
3247,2,2,5,1,0,0,0,Suburbs,368133
1475,6,3,11,3,2,1,1,Rural,167275
2306,2,2,15,2,0,0,0,Suburbs,250161
689,2,2,16,1,1,1,0,Uptown,114244
3234,5,1,44,3,0,0,1,Rural,240702
3505,4,3,22,3,1,0,1,Suburbs,387482
2399,4,4,13,3,0,0,1,Rural,186870
1767,3,3,6,3,0,0,1,Downtown,394992
2028,2,2,45,3,2,0,1,Rural,145089
3702,6,4,31,3,2,0,1,Rural,274086
4056,5,3,14,2,2,0,1,Downtown,769053
4390,5,2,43,2,0,1,1,Suburbs,471230
1146,4,2,16,2,0,0,0,Rural,101033
3388,2,1,40,2,0,1,1,Midtown,401068
2935,3,1,46,1,1,0,0,Rural,144640
1100,2,1,43,2,1,0,0,Suburbs,82246
2863,1,2,33,3,0,0,0,Downtown,476749
2561,2,3,4,2,2,0,0,Suburbs,326457
741,1,1,44,2,2,0,1,Uptown,75991
2541,1,3,26,3,2,0,1,Rural,226802
3324,3,1,22,2,0,0,1,Rural,225272
3112,6,4,39,2,2,0,1,Downtown,577165
1863,4,4,13,2,0,0,0,Rural,175408
1978,2,1,14,1,1,0,0,Midtown,261370
3056,1,2,42,2,2,0,1,Midtown,357575
1275,2,1,32,3,1,1,1,Suburbs,135363
4514,6,1,30,3,2,1,0,Downtown,822725
534,4,2,34,2,0,0,1,Uptown,81610
3652,6,4,16,2,0,1,0,Suburbs,422628
2455,4,3,27,2,0,1,0,Downtown,469700
2085,5,1,18,3,0,0,0,Downtown,396495
4443,4,2,45,3,2,0,0,Suburbs,440440
3573,3,1,22,1,1,1,1,Suburbs,392272
1521,6,2,31,1,0,0,1,Rural,86870
3961,1,3,39,1,2,1,0,Uptown,583272
3113,5,3,12,3,1,0,1,Midtown,456310
4343,3,4,19,1,0,0,1,Rural,319718
2000,2,2,34,2,1,0,0,Downtown,315804
661,6,2,4,2,0,0,0,Uptown,175852
4797,1,4,8,3,1,1,1,Uptown,778761
2481,4,4,28,1,1,1,1,Suburbs,312258
1495,1,2,5,2,0,0,1,Uptown,242629
3842,2,4,24,3,2,0,0,Uptown,582939
4298,5,3,30,1,1,1,1,Downtown,795753
1775,5,1,21,2,0,0,0,Rural,126508
1516,6,3,1,1,1,0,0,Uptown,306466
837,5,4,44,3,1,0,1,Suburbs,95127
1378,6,2,4,1,2,1,0,Rural,161279
1576,6,2,26,3,1,1,0,Suburbs,200272
4493,6,3,24,1,1,0,0,Uptown,701185
879,4,2,7,2,0,0,0,Rural,111237
992,3,4,0,3,0,1,1,Uptown,260871
2562,6,3,19,3,2,0,0,Downtown,526154
4384,6,2,43,3,1,0,0,Rural,305693
564,3,1,22,1,1,0,0,Suburbs,86013
3068,1,1,31,1,1,1,0,Downtown,531459
2527,6,4,10,2,2,0,1,Midtown,391894
3195,4,2,38,3,1,0,0,Suburbs,327778
1995,5,4,46,3,0,0,1,Uptown,299070
891,5,3,23,1,2,0,0,Suburbs,153847
4974,2,1,10,1,0,0,0,Midtown,620639
4061,2,3,28,2,0,0,1,Suburbs,413045
2778,5,2,25,2,2,0,1,Downtown,551093
3599,5,4,15,1,0,0,0,Suburbs,426710
700,4,4,34,3,1,0,1,Rural,72281
3604,3,4,19,2,2,0,0,Midtown,470814
2954,2,3,45,1,0,1,1,Suburbs,287686
4145,3,1,2,1,1,1,1,Midtown,577011
1304,4,3,0,3,1,0,1,Downtown,327465
3231,5,3,46,1,0,1,1,Rural,240005
3273,6,2,0,1,1,0,0,Uptown,557539
2070,3,2,16,2,2,1,1,Suburbs,254969
3190,5,2,1,1,0,0,0,Downtown,636546
4340,5,1,28,1,1,0,0,Midtown,551318
1528,1,1,19,2,1,0,0,Midtown,187008
1002,3,2,5,3,0,0,0,Downtown,216467
4993,6,2,7,3,0,1,1,Suburbs,577652
1370,3,1,28,2,0,0,1,Uptown,194259
4988,5,4,47,2,0,0,1,Suburbs,501790
706,6,1,32,3,2,0,0,Rural,76672
1984,4,1,2,3,0,1,0,Suburbs,252231
1363,1,1,34,3,2,0,1,Rural,88842
3290,5,2,4,3,2,0,0,Midtown,457590
1063,2,4,26,3,0,1,1,Rural,119189
4691,2,1,43,2,2,0,1,Uptown,653925
2257,1,2,11,1,0,0,1,Downtown,424111
2178,4,3,19,3,0,1,1,Rural,192400
3742,5,3,44,3,1,0,1,Suburbs,383407
1559,3,1,19,1,0,0,0,Rural,123187
2222,1,3,8,1,1,0,1,Midtown,315949
3814,4,4,38,1,2,1,0,Rural,284537
3657,3,3,3,1,1,0,0,Uptown,586956
3125,2,3,18,1,2,1,0,Rural,257376
3229,2,4,37,1,0,1,1,Uptown,489810
2097,3,1,26,2,2,0,0,Suburbs,219771
3560,1,1,44,1,2,1,0,Midtown,427424
3193,2,4,42,1,0,0,0,Downtown,507457
4127,5,4,12,2,2,0,1,Suburbs,479868
1863,6,4,12,1,0,1,1,Suburbs,239199
2481,3,3,21,3,1,1,1,Downtown,477971
2163,3,4,27,3,0,0,1,Rural,178474
2029,2,2,46,1,0,0,0,Rural,123332
2538,1,3,44,2,2,0,0,Rural,186447
3802,5,1,21,3,1,0,1,Midtown,519694
2737,1,1,42,2,0,0,0,Suburbs,242347
1806,4,1,18,3,1,0,0,Uptown,313893
4529,4,3,7,1,1,0,0,Downtown,824544
3175,6,2,7,2,2,0,0,Suburbs,384076
1782,2,4,41,2,0,0,0,Rural,118726
1209,2,4,25,2,2,1,1,Downtown,305897
4913,2,1,47,3,0,1,0,Uptown,672094
4248,6,1,25,3,1,0,1,Suburbs,475408
1163,4,3,22,3,0,0,0,Suburbs,135385
2498,1,2,42,1,0,0,0,Midtown,257274
3945,6,4,12,3,1,0,0,Suburbs,461863
4243,6,3,27,1,1,0,1,Suburbs,474241
1995,1,4,8,2,0,1,0,Uptown,367483
3804,2,1,19,2,2,0,1,Uptown,609306
4263,5,4,18,1,0,0,1,Downtown,798832
2353,1,2,47,3,1,0,1,Rural,143629
1791,4,2,38,1,2,0,0,Uptown,262484
4081,3,1,11,2,1,0,0,Downtown,732217
3957,3,2,14,2,1,1,0,Suburbs,441710
2136,6,2,30,1,2,0,1,Downtown,416291
4196,3,3,13,3,1,0,0,Downtown,766160
3499,5,4,10,3,1,0,1,Downtown,712815
3652,2,1,25,1,1,1,1,Downtown,658588
1198,4,1,41,1,1,0,0,Uptown,149559
2660,5,1,26,3,1,0,0,Rural,217812
4597,4,1,10,2,1,1,1,Downtown,896161
1354,4,1,37,1,1,0,0,Midtown,134285
3974,2,2,33,3,1,0,0,Suburbs,399213
2207,6,3,42,3,1,0,1,Suburbs,247163
3277,3,1,18,2,0,0,0,Suburbs,346502
2233,2,3,5,2,0,0,1,Suburbs,239932
4010,5,3,45,2,1,0,1,Suburbs,444311
702,6,2,37,2,0,0,1,Downtown,152937
3755,5,1,48,2,2,0,0,Rural,273632
4718,6,2,41,1,0,0,0,Midtown,572394
4996,5,1,27,3,1,0,1,Uptown,756676
1266,2,2,0,1,1,0,0,Midtown,202399
4889,6,3,34,1,0,1,0,Uptown,752094
2827,6,1,39,1,1,0,0,Uptown,384818
3431,4,4,7,1,2,0,0,Midtown,474597
697,4,3,46,1,2,0,0,Downtown,112932
2430,1,4,6,2,1,0,1,Suburbs,300811
4082,5,3,10,2,2,0,0,Downtown,820097
1108,4,2,38,3,2,0,0,Suburbs,132281
3772,1,1,3,1,0,0,1,Rural,318080
1647,4,3,24,3,2,0,1,Uptown,290474
4782,5,2,11,2,0,1,0,Midtown,630008
3897,6,1,25,2,1,0,0,Rural,296987
3011,3,1,37,2,0,0,1,Suburbs,308824
2294,5,3,45,1,1,0,1,Downtown,393282
1159,2,1,11,1,1,0,1,Midtown,142402
3311,4,3,42,2,1,0,1,Uptown,493929
1869,4,1,36,3,1,0,0,Rural,121023
2486,6,4,45,3,1,0,1,Uptown,418521
646,2,2,23,2,0,1,0,Suburbs,95525
3719,6,4,15,3,1,1,1,Uptown,645943
3411,2,3,12,2,2,0,1,Downtown,649884
2234,3,4,24,3,2,0,1,Rural,183225
2343,4,3,3,2,1,1,0,Rural,217413
988,4,1,10,3,2,0,0,Downtown,238158
3476,3,1,31,1,0,0,1,Uptown,493709
2459,1,3,48,2,0,0,1,Downtown,389172
2885,6,4,6,2,1,0,1,Midtown,419412
3419,3,1,45,3,1,0,0,Downtown,560746
2302,6,2,10,2,1,0,0,Uptown,410455
4561,5,1,27,2,2,0,1,Downtown,800479
3869,4,2,40,2,2,0,0,Suburbs,389521
762,6,4,22,1,0,1,1,Downtown,215207
1123,2,2,44,1,2,0,0,Downtown,156567
1516,6,2,22,3,0,0,1,Uptown,281430
4143,5,2,49,1,2,0,1,Midtown,490734
2549,4,2,27,3,0,1,1,Midtown,368916
4223,3,1,42,1,1,1,0,Uptown,622778
3608,5,2,46,3,2,0,1,Uptown,564468
4590,4,1,25,1,0,0,0,Uptown,626789
2556,6,2,24,1,2,1,1,Suburbs,351984
3670,1,3,28,3,1,0,0,Rural,270330
2182,1,4,18,2,0,0,0,Downtown,388285
2755,2,2,32,2,2,0,0,Uptown,399991
1654,4,3,35,1,2,0,0,Uptown,238157
4999,1,2,13,3,1,0,1,Uptown,764252
3691,3,2,13,2,1,0,0,Midtown,500599
2196,4,2,34,3,0,0,1,Uptown,340134
4491,3,3,29,2,2,1,1,Downtown,811261
2148,3,4,27,3,2,1,0,Uptown,354232
1945,1,3,16,1,1,1,1,Downtown,383949
4699,4,4,2,3,1,1,0,Suburbs,548887
4423,6,2,15,2,0,0,0,Rural,357494
753,5,1,45,1,2,0,0,Midtown,108416
3683,1,2,29,3,2,0,1,Downtown,647488
3057,1,4,28,2,0,1,0,Suburbs,327537
598,6,3,44,1,0,0,1,Rural,50068
2700,4,2,14,3,1,1,1,Rural,240466
3461,4,3,45,2,1,0,1,Rural,237492
4933,3,3,24,3,0,1,0,Downtown,895177
4277,6,3,37,3,0,0,1,Suburbs,450216
3369,6,2,41,1,2,0,1,Uptown,534878
3734,4,3,46,1,0,1,1,Suburbs,389019
4291,3,3,37,2,0,0,1,Suburbs,455669
1456,1,2,22,1,2,1,1,Suburbs,157012
4567,2,3,24,2,0,0,0,Downtown,790812
660,5,2,41,3,1,0,0,Downtown,148817
4993,1,4,6,3,1,0,0,Downtown,882600
1800,4,4,21,2,2,0,0,Suburbs,223122
4487,5,4,16,3,0,0,0,Downtown,835839
2027,2,3,17,1,1,0,0,Rural,164002
1718,2,1,48,3,1,0,0,Downtown,244330
4996,3,1,40,1,1,0,1,Midtown,583782
3604,5,3,9,2,1,0,0,Downtown,695370
3235,3,1,9,2,0,0,1,Downtown,599868
1454,1,2,6,3,0,1,0,Downtown,299260
3946,6,1,47,3,0,0,1,Downtown,662452
1545,6,3,49,1,0,0,1,Midtown,211070
2193,6,3,37,1,1,0,0,Uptown,344407
3936,5,2,26,3,2,0,0,Downtown,685972
1062,6,4,32,3,2,0,0,Rural,126526
2985,1,3,0,2,1,1,0,Midtown,412242
3854,3,2,43,2,1,1,1,Uptown,578177
725,5,1,33,2,2,0,1,Downtown,170122
1459,3,1,3,3,2,0,0,Uptown,253240
3567,5,2,16,3,1,1,0,Rural,294491
1315,3,2,3,3,1,0,0,Midtown,231063
3620,2,3,42,2,0,0,0,Midtown,431740
516,3,1,25,3,0,0,1,Uptown,90948
1743,6,2,3,1,2,0,0,Downtown,407861
2705,2,1,0,3,1,1,1,Suburbs,351522
3024,3,2,6,3,2,0,0,Midtown,430827
1569,5,1,29,3,0,0,0,Suburbs,157722
3944,5,4,49,3,0,0,1,Midtown,513397
3065,5,3,8,3,2,1,0,Downtown,640962
1560,4,1,34,1,0,1,1,Downtown,294520
2827,1,4,7,1,1,0,1,Midtown,377470
3920,5,1,23,3,2,0,0,Uptown,616526
801,2,1,18,2,1,0,0,Downtown,138404
4776,5,4,35,3,1,1,1,Downtown,887891
1106,4,1,49,3,0,1,1,Rural,88073
3670,6,1,42,3,1,0,1,Downtown,667129
1199,2,3,26,2,2,1,0,Rural,126286
1639,4,4,31,2,1,0,1,Downtown,343770
690,6,4,13,2,1,0,0,Downtown,226249
2800,2,2,17,1,1,0,1,Uptown,460300
1480,3,1,27,2,1,0,1,Uptown,228567
3475,1,3,28,1,1,0,0,Downtown,575833
1684,1,1,15,1,0,0,1,Midtown,205595
3827,4,1,34,2,2,0,0,Midtown,469323
3894,6,2,46,2,0,0,1,Downtown,648048
627,1,1,30,2,2,0,0,Midtown,72211
2565,6,3,3,1,2,0,1,Downtown,565060
2316,6,3,36,3,2,0,0,Uptown,378842
1069,4,2,16,2,2,0,1,Suburbs,128577
2395,4,1,38,2,2,0,1,Rural,181761
3233,4,3,47,2,1,1,0,Midtown,385039
4363,1,1,45,1,0,1,0,Midtown,501469
4514,4,1,25,1,0,1,1,Uptown,694405
3401,1,1,47,3,1,0,0,Midtown,376880
2186,4,2,38,2,2,0,1,Downtown,380732
3509,5,1,40,1,0,0,0,Downtown,595835
654,6,3,3,3,1,0,1,Suburbs,148736
3037,4,1,29,2,1,0,0,Suburbs,305835
1909,2,3,29,1,0,0,0,Suburbs,199587
4557,6,1,21,2,0,1,0,Downtown,840542
1284,6,3,10,2,2,0,0,Suburbs,222271
3675,4,3,1,1,2,1,0,Suburbs,440931
4841,3,1,43,1,0,1,0,Downtown,781274
3306,4,1,11,1,2,0,1,Uptown,541004
1037,6,3,29,2,1,1,1,Midtown,209123
2341,2,4,35,2,2,0,1,Rural,216296
2955,6,2,17,3,2,1,0,Downtown,664619
1024,2,4,25,2,1,0,1,Downtown,190051
3450,1,4,6,1,2,1,0,Rural,283571
4631,5,1,0,2,1,0,1,Rural,358568
4615,6,2,25,3,2,1,0,Suburbs,527794
2868,4,4,22,3,0,0,0,Rural,266454
4347,1,1,25,1,2,0,0,Midtown,504844
4995,5,4,44,1,0,1,1,Midtown,632070
3201,4,4,5,3,0,1,0,Midtown,458907
1471,3,1,5,3,0,0,1,Midtown,208970
